target_name,ensg_id,annotations_grade_3,annotations_grade_2,annotations_grade_1
EBP,ENSG00000147155,vesicles,er,
ECPAS,ENSG00000136813,cytoplasmic,,nucleoplasm
ECT2,ENSG00000114346,cytoplasmic,nucleoplasm;nucleolus_gc,
EDC3,ENSG00000179151,cytoplasmic;vesicles,,nucleoplasm
EDC4,ENSG00000038358,vesicles,,cytoplasmic
EDF1,ENSG00000107223,nucleolus_gc;cytoplasmic,nucleoplasm,
EEA1,ENSG00000102189,vesicles,,cytoplasmic
EEF1G,ENSG00000254772,cytoplasmic,,nucleoplasm;er
EFTUD2,ENSG00000108883,chromatin,nuclear_punctae,
EIF2AK2,ENSG00000055332,cytoplasmic,,nucleolus_gc
EIF2S3,ENSG00000130741,cytoplasmic,,
EIF3B,ENSG00000106263,cytoplasmic,,
EIF3E,ENSG00000104408,cytoplasmic,,
EIF3G,ENSG00000130811,cytoplasmic,,
EIF3I,ENSG00000084623,cytoplasmic,,nucleoplasm
EIF3K,ENSG00000178982,cytoplasmic,,nucleoplasm
EIF3M,ENSG00000149100,cytoplasmic,,nucleoplasm
EIF4A1,ENSG00000161960,cytoplasmic,,
EIF4A3,ENSG00000141543,chromatin;nucleoplasm,,
EIF5,ENSG00000100664,cytoplasmic,,
ELOVL1,ENSG00000066322,vesicles,,
ELOVL5,ENSG00000012660,vesicles,,
ELOVL6,ENSG00000170522,vesicles,er,
EMC1,ENSG00000127463,er,,
EMC10,ENSG00000161671,er,,
EMC2,ENSG00000104412,er,,
EMC3,ENSG00000125037,er,,
EMC4,ENSG00000128463,er,,
EMC7,ENSG00000134153,er,,
EMC8,ENSG00000131148,er,,
EMC9,ENSG00000100908,er,,
EMG1,ENSG00000126749,nucleolus_gc,,nucleoplasm
ENO1,ENSG00000074800,cytoplasmic;nucleoplasm,,
ENY2,ENSG00000120533,nucleoplasm;nuclear_punctae;nuclear_membrane,,
EPN1,ENSG00000063245,membrane;cytoplasmic,,
EPN2,ENSG00000072134,cytoplasmic,vesicles,membrane
EPS15,ENSG00000085832,membrane;cell_contact,,cytoplasmic
ERG28,ENSG00000133935,vesicles,,er
ERI3,ENSG00000117419,cytoplasmic;nucleoplasm,,
ESD,ENSG00000139684,cytoplasmic;nucleoplasm,,
ESYT1,ENSG00000139641,membrane;er,,
EWSR1,ENSG00000182944,nuclear_punctae;nucleoplasm,,nucleolus_fc_dfc
EZR,ENSG00000092820,membrane,,
FAM117B,ENSG00000138439,centrosome;nucleoplasm;cytoplasmic,,
FAM120A,ENSG00000048828,cytoplasmic,,nucleoplasm
FAM174C,ENSG00000228300,golgi;vesicles,,
FAM207A,ENSG00000160256,nucleolus_gc,nucleoplasm,cytoplasmic
FAM50A,ENSG00000071859,nucleoplasm,,
FAM50B,ENSG00000145945,nucleoplasm,,nucleolus_gc
FANCA,ENSG00000187741,nucleoplasm;cytoplasmic,nuclear_punctae,
FARP1,ENSG00000152767,membrane,,cytoplasmic
FASN,ENSG00000169710,cytoplasmic,,nucleoplasm
FAU,ENSG00000149806,cytoplasmic,,nucleolus_gc
FBL,ENSG00000105202,nucleolus_fc_dfc,,
FCHSD2,ENSG00000137478,cytoplasmic,membrane,cell_contact
FDPS,ENSG00000160752,nucleoplasm;cytoplasmic,,
FKBP5,ENSG00000096060,nucleoplasm,,
FKBP8,ENSG00000105701,mitochondria,cytoplasmic,
FNBP1,ENSG00000187239,cell_contact;membrane,,cytoplasmic
FNBP1L,ENSG00000137942,cell_contact;cytoplasmic;membrane,,
FTH1,ENSG00000167996,vesicles,,
FXR1,ENSG00000114416,cytoplasmic,,
FXR2,ENSG00000129245,cytoplasmic,,
